time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,sunshine_duration,city
2004-01-01,-0.3,-2.4,0.0,0.0,0.07,9.2,12189.97,Berlin
2004-01-02,0.1,-4.7,0.0,0.0,0.0,15.6,22148.29,Berlin
2004-01-03,-1.6,-5.5,0.0,0.0,0.0,9.5,21660.53,Berlin
2004-01-04,-3.2,-6.0,0.0,0.0,0.0,12.4,9348.72,Berlin
2004-01-05,-4.6,-8.1,0.0,0.0,0.0,13.1,22860.24,Berlin
2004-01-06,-2.2,-8.3,3.1,0.0,2.17,20.5,6588.86,Berlin
2004-01-07,4.2,-1.7,5.4,1.4,2.8,16.8,3393.2,Berlin
2004-01-08,3.3,-0.1,0.0,0.0,0.0,19.1,14279.83,Berlin
2004-01-09,2.5,-1.1,1.2,0.4,0.56,18.4,0.0,Berlin
2004-01-10,1.7,-0.9,1.5,1.3,0.14,8.7,0.0,Berlin
2004-01-11,7.6,-0.9,7.6,7.6,0.14,24.1,340.8,Berlin
2004-01-12,6.9,0.6,0.0,0.0,0.0,20.4,21570.11,Berlin
2004-01-13,6.0,-0.5,5.9,5.9,0.0,22.5,0.0,Berlin
2004-01-14,4.6,1.8,3.8,3.8,0.0,37.1,1360.91,Berlin
2004-01-15,2.7,-0.0,2.9,1.5,0.98,16.3,1368.66,Berlin
2004-01-16,4.2,0.1,7.0,5.4,1.12,23.0,7047.65,Berlin
2004-01-17,4.4,1.8,12.9,12.9,0.0,21.1,3406.64,Berlin
2004-01-18,1.6,-2.6,1.8,0.9,0.63,15.7,20495.57,Berlin
2004-01-19,1.5,-1.9,8.4,1.5,4.83,27.0,0.0,Berlin
2004-01-20,1.9,-1.6,0.3,0.1,0.28,21.0,17922.23,Berlin
2004-01-21,-0.8,-4.6,0.0,0.0,0.14,13.7,23440.89,Berlin
2004-01-22,-3.7,-6.7,0.0,0.0,0.0,12.5,10075.39,Berlin
2004-01-23,-3.5,-10.7,0.0,0.0,0.0,12.0,25542.43,Berlin
2004-01-24,-3.3,-10.9,0.0,0.0,0.0,16.4,25705.12,Berlin
2004-01-25,-3.5,-7.0,0.7,0.0,0.77,13.0,193.65,Berlin
2004-01-26,-2.4,-5.2,0.0,0.0,0.0,7.6,1052.86,Berlin
2004-01-27,-1.1,-7.4,0.0,0.0,0.0,6.2,11627.24,Berlin
2004-01-28,-0.3,-5.7,0.0,0.0,0.0,13.8,8836.39,Berlin
2004-01-29,0.3,-5.0,0.8,0.0,0.77,17.4,14400.0,Berlin
2004-01-30,1.5,-1.7,2.7,0.3,1.75,22.8,16646.8,Berlin
2004-01-31,6.8,-1.3,4.7,4.7,0.0,30.5,7731.32,Berlin
2004-02-01,9.0,6.1,8.8,8.8,0.0,36.8,503.15,Berlin
2004-02-02,10.1,4.6,4.4,4.4,0.0,26.0,18915.06,Berlin
2004-02-03,10.1,5.0,4.5,4.5,0.0,19.0,0.0,Berlin
2004-02-04,13.0,10.1,0.0,0.0,0.0,23.4,7859.52,Berlin
2004-02-05,13.7,11.8,0.0,0.0,0.0,28.2,0.0,Berlin
2004-02-06,12.4,9.9,2.9,2.9,0.0,25.0,5241.67,Berlin
2004-02-07,12.6,5.3,5.9,5.9,0.0,32.1,24202.02,Berlin
2004-02-08,5.0,1.0,5.4,4.5,0.63,22.7,10809.71,Berlin
2004-02-09,2.9,-1.1,4.0,1.1,2.1,29.2,27068.33,Berlin
2004-02-10,3.0,-1.8,5.1,1.0,2.94,21.6,13846.27,Berlin
2004-02-11,1.2,-6.6,4.0,1.1,2.17,18.6,25770.66,Berlin
2004-02-12,-1.1,-7.1,0.0,0.0,0.0,8.6,11839.42,Berlin
2004-02-13,4.2,-2.3,0.2,0.2,0.0,12.1,0.0,Berlin
2004-02-14,5.2,0.6,0.0,0.0,0.0,17.1,0.0,Berlin
2004-02-15,4.0,0.7,0.0,0.0,0.0,14.2,0.0,Berlin
2004-02-16,5.6,-0.9,0.0,0.0,0.0,14.2,29982.51,Berlin
2004-02-17,4.5,1.3,0.0,0.0,0.0,21.3,0.0,Berlin
2004-02-18,5.1,-0.0,1.2,0.7,0.42,19.5,17177.11,Berlin
2004-02-19,0.8,-2.2,0.0,0.0,0.0,19.3,2765.94,Berlin
2004-02-20,2.1,-4.6,0.0,0.0,0.0,19.6,32101.04,Berlin
2004-02-21,5.2,-3.2,0.0,0.0,0.0,19.8,32390.65,Berlin
2004-02-22,4.1,-2.3,0.0,0.0,0.0,14.1,32102.78,Berlin
2004-02-23,3.1,-1.9,0.0,0.0,0.07,19.4,25363.88,Berlin
2004-02-24,3.3,-2.8,0.0,0.0,0.0,20.0,30979.3,Berlin
2004-02-25,4.0,-1.2,3.9,0.8,2.45,18.7,21581.01,Berlin
2004-02-26,3.1,-3.6,0.0,0.0,0.0,15.2,32739.43,Berlin
2004-02-27,2.7,-4.7,0.0,0.0,0.07,8.0,28973.07,Berlin
2004-02-28,3.3,-4.5,0.0,0.0,0.0,9.4,27079.32,Berlin
2004-02-29,2.9,-5.1,0.0,0.0,0.0,16.9,19745.96,Berlin
2004-03-01,2.9,-1.6,1.9,0.0,1.4,21.0,17570.54,Berlin
2004-03-02,5.0,0.6,0.5,0.4,0.07,20.8,0.0,Berlin
2004-03-03,4.1,-3.0,0.0,0.0,0.0,19.1,29008.25,Berlin
2004-03-04,2.2,-4.6,0.1,0.0,0.14,12.6,23920.44,Berlin
2004-03-05,2.3,-4.7,0.0,0.0,0.0,14.4,35599.23,Berlin
2004-03-06,3.1,-3.2,0.3,0.0,0.28,18.3,23889.13,Berlin
2004-03-07,3.2,-2.2,0.5,0.0,0.35,16.8,13684.06,Berlin
2004-03-08,4.6,-2.2,0.2,0.1,0.14,10.8,32457.28,Berlin
2004-03-09,3.5,-0.7,0.1,0.0,0.28,18.1,8959.53,Berlin
2004-03-10,4.0,0.1,0.6,0.4,0.42,18.5,0.0,Berlin
2004-03-11,6.5,0.6,0.0,0.0,0.0,20.2,11178.31,Berlin
2004-03-12,9.6,-0.1,0.0,0.0,0.0,23.5,27376.46,Berlin
2004-03-13,12.5,3.0,1.2,1.2,0.0,19.0,29385.85,Berlin
2004-03-14,13.3,5.0,3.3,3.3,0.0,13.5,28632.28,Berlin
2004-03-15,13.1,5.7,0.0,0.0,0.0,18.7,18394.11,Berlin
2004-03-16,13.5,7.4,0.0,0.0,0.0,18.6,0.0,Berlin
2004-03-17,18.4,8.5,0.0,0.0,0.0,12.5,38504.11,Berlin
2004-03-18,16.3,4.8,0.0,0.0,0.0,12.0,36118.42,Berlin
2004-03-19,14.2,9.2,1.0,1.0,0.0,24.4,21525.86,Berlin
2004-03-20,12.3,6.9,7.2,7.2,0.0,35.2,13988.24,Berlin
2004-03-21,12.5,7.3,3.1,3.1,0.0,38.6,39452.77,Berlin
2004-03-22,10.4,4.5,4.3,4.3,0.0,25.8,32490.67,Berlin
2004-03-23,9.4,-0.0,0.0,0.0,0.0,14.2,26599.29,Berlin
2004-03-24,9.4,1.9,0.0,0.0,0.0,25.0,9932.18,Berlin
2004-03-25,3.5,1.4,0.0,0.0,0.0,21.3,0.0,Berlin
2004-03-26,5.6,-0.9,0.3,0.2,0.14,16.3,33142.85,Berlin
2004-03-27,4.3,-1.3,0.0,0.0,0.0,9.9,19464.3,Berlin
2004-03-28,7.1,0.7,0.0,0.0,0.0,12.6,455.14,Berlin
2004-03-29,11.8,3.1,0.0,0.0,0.0,11.5,36348.18,Berlin
2004-03-30,13.5,2.2,0.0,0.0,0.0,14.1,40176.54,Berlin
2004-03-31,13.4,1.9,0.0,0.0,0.0,18.4,42275.91,Berlin
2004-04-01,14.2,4.5,0.0,0.0,0.0,22.7,42415.69,Berlin
2004-04-02,12.3,4.0,0.0,0.0,0.0,27.5,42554.55,Berlin
2004-04-03,16.7,3.4,0.5,0.5,0.0,21.2,42692.38,Berlin
2004-04-04,15.5,4.7,1.1,1.1,0.0,23.4,24897.76,Berlin
2004-04-05,11.3,3.4,1.8,1.8,0.0,18.6,35563.3,Berlin
2004-04-06,9.6,3.8,6.4,6.4,0.0,16.3,26092.18,Berlin
2004-04-07,10.2,3.3,0.6,0.6,0.0,11.7,41942.67,Berlin
2004-04-08,9.7,1.3,2.4,2.4,0.0,9.9,37440.91,Berlin
2004-04-09,12.1,3.2,2.8,2.8,0.0,14.8,21062.05,Berlin
2004-04-10,8.6,2.3,1.2,1.2,0.0,16.3,25205.27,Berlin
2004-04-11,11.4,-0.5,0.0,0.0,0.0,15.9,44110.03,Berlin
2004-04-12,9.0,2.8,0.1,0.1,0.0,10.7,14910.74,Berlin
2004-04-13,11.1,4.7,0.2,0.2,0.0,10.2,19924.85,Berlin
2004-04-14,13.8,2.0,0.0,0.0,0.0,10.1,45271.7,Berlin
2004-04-15,16.8,1.7,0.0,0.0,0.0,12.5,45589.91,Berlin
2004-04-16,18.0,5.3,0.0,0.0,0.0,12.4,45056.49,Berlin
2004-04-17,18.1,5.5,0.0,0.0,0.0,11.6,44684.41,Berlin
2004-04-18,19.0,6.8,0.6,0.6,0.0,16.8,45328.64,Berlin
2004-04-19,15.6,8.2,8.3,8.3,0.0,17.8,28817.07,Berlin
2004-04-20,15.6,5.3,0.9,0.9,0.0,8.9,42597.29,Berlin
2004-04-21,18.8,4.8,0.0,0.0,0.0,12.2,40310.12,Berlin
2004-04-22,20.2,9.2,0.0,0.0,0.0,11.8,40964.01,Berlin
2004-04-23,13.2,7.7,4.7,4.7,0.0,11.8,11252.12,Berlin
2004-04-24,12.9,6.6,1.0,1.0,0.0,15.9,25856.49,Berlin
2004-04-25,15.6,3.5,0.0,0.0,0.0,14.8,47297.65,Berlin
2004-04-26,12.5,7.4,2.1,2.1,0.0,11.6,2726.85,Berlin
2004-04-27,16.0,8.4,0.1,0.1,0.0,14.1,42442.94,Berlin
2004-04-28,18.1,6.9,0.0,0.0,0.0,16.9,49022.27,Berlin
2004-04-29,18.9,7.5,0.0,0.0,0.0,22.0,47213.67,Berlin
2004-04-30,20.9,10.3,0.0,0.0,0.0,29.2,48535.29,Berlin
2004-05-01,22.2,12.1,0.7,0.7,0.0,21.3,45907.68,Berlin
2004-05-02,17.6,10.4,1.1,1.1,0.0,19.8,41396.88,Berlin
2004-05-03,19.2,12.1,0.2,0.2,0.0,15.6,46439.46,Berlin
2004-05-04,20.7,10.7,0.4,0.4,0.0,19.2,38712.23,Berlin
2004-05-05,20.2,13.6,2.4,2.4,0.0,17.1,49196.99,Berlin
2004-05-06,21.3,10.2,6.9,6.9,0.0,13.0,46774.64,Berlin
2004-05-07,17.2,8.7,1.5,1.5,0.0,21.0,30101.44,Berlin
2004-05-08,14.4,8.5,0.0,0.0,0.0,15.1,549.93,Berlin
2004-05-09,13.4,8.3,4.1,4.1,0.0,15.1,4587.0,Berlin
2004-05-10,18.5,9.3,9.7,9.7,0.0,20.5,34708.2,Berlin
2004-05-11,17.2,10.6,5.2,5.2,0.0,17.2,36366.35,Berlin
2004-05-12,14.4,10.6,0.1,0.1,0.0,11.9,26748.12,Berlin
2004-05-13,13.3,9.3,2.2,2.2,0.0,15.4,29319.93,Berlin
2004-05-14,14.2,7.0,0.3,0.3,0.0,10.2,33150.23,Berlin
2004-05-15,14.9,6.5,2.7,2.7,0.0,26.5,21412.68,Berlin
2004-05-16,15.1,8.9,0.5,0.5,0.0,16.6,49699.95,Berlin
2004-05-17,17.1,10.0,0.5,0.5,0.0,13.8,11127.59,Berlin
2004-05-18,18.6,11.8,0.3,0.3,0.0,17.8,42832.66,Berlin
2004-05-19,20.7,7.9,0.0,0.0,0.0,24.0,42658.46,Berlin
2004-05-20,15.6,9.6,0.0,0.0,0.0,17.5,36524.55,Berlin
2004-05-21,12.9,8.4,1.1,1.1,0.0,11.8,23272.15,Berlin
2004-05-22,12.6,5.6,2.1,2.1,0.0,19.8,50741.68,Berlin
2004-05-23,12.0,4.6,6.3,6.3,0.0,22.7,35486.86,Berlin
2004-05-24,13.0,4.8,0.8,0.8,0.0,23.1,39825.3,Berlin
2004-05-25,14.3,7.5,0.7,0.7,0.0,21.9,51296.98,Berlin
2004-05-26,13.6,7.6,0.1,0.1,0.0,19.1,51276.5,Berlin
2004-05-27,15.0,7.4,1.8,1.8,0.0,16.1,44661.2,Berlin
2004-05-28,17.0,6.1,0.0,0.0,0.0,8.5,52731.7,Berlin
2004-05-29,19.5,7.3,0.0,0.0,0.0,9.9,53212.88,Berlin
2004-05-30,21.8,6.8,0.0,0.0,0.0,13.8,51075.82,Berlin
2004-05-31,22.6,12.2,0.3,0.3,0.0,14.8,43200.0,Berlin
2004-06-01,21.8,13.0,1.5,1.5,0.0,15.3,45645.59,Berlin
2004-06-02,19.7,12.7,3.7,3.7,0.0,16.4,28634.49,Berlin
2004-06-03,22.8,12.2,0.0,0.0,0.0,13.7,48870.87,Berlin
2004-06-04,20.3,10.5,3.8,3.8,0.0,13.4,32632.83,Berlin
2004-06-05,18.8,12.0,1.2,1.2,0.0,9.3,33944.34,Berlin
2004-06-06,19.5,9.9,0.2,0.2,0.0,17.3,53742.65,Berlin
2004-06-07,22.0,11.1,0.0,0.0,0.0,11.1,39228.0,Berlin
