time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,sunshine_duration,city
2004-01-01,-0.5,-2.3,0.1,0.0,0.42,13.8,0.0,Kyiv
2004-01-02,-0.2,-2.5,2.3,0.0,1.89,13.8,0.0,Kyiv
2004-01-03,-1.5,-8.0,3.5,0.0,2.59,17.1,48.96,Kyiv
2004-01-04,-8.4,-12.0,0.0,0.0,0.0,15.2,3878.78,Kyiv
2004-01-05,-10.7,-12.7,0.0,0.0,0.0,11.2,0.0,Kyiv
2004-01-06,-10.2,-12.6,0.0,0.0,0.0,19.4,18604.18,Kyiv
2004-01-07,-9.9,-13.0,1.1,0.0,0.84,19.6,7345.16,Kyiv
2004-01-08,-7.5,-11.8,4.1,0.0,2.87,17.7,0.0,Kyiv
2004-01-09,-7.1,-8.5,0.0,0.0,0.0,11.5,0.0,Kyiv
2004-01-10,-2.4,-7.6,0.0,0.0,0.0,20.2,16447.04,Kyiv
2004-01-11,0.3,-2.5,0.0,0.0,0.56,17.4,0.0,Kyiv
2004-01-12,-1.8,-3.3,0.0,0.0,0.0,19.7,0.0,Kyiv
2004-01-13,-1.6,-3.6,1.6,0.0,1.4,18.9,14876.88,Kyiv
2004-01-14,1.7,-1.5,4.6,3.7,0.63,26.4,0.0,Kyiv
2004-01-15,1.8,-1.4,0.0,0.0,0.0,20.2,20390.2,Kyiv
2004-01-16,-0.9,-5.0,0.2,0.0,0.42,16.8,0.0,Kyiv
2004-01-17,0.4,-2.7,0.0,0.0,0.21,22.7,8836.5,Kyiv
2004-01-18,0.3,-1.1,9.8,0.3,6.79,23.2,0.0,Kyiv
2004-01-19,-1.0,-6.3,0.0,0.0,0.0,23.5,4620.07,Kyiv
2004-01-20,-0.8,-6.5,1.1,0.0,1.12,19.2,0.0,Kyiv
2004-01-21,-2.1,-6.7,1.4,0.0,1.4,18.7,9234.57,Kyiv
2004-01-22,-7.2,-13.0,0.0,0.0,0.0,18.1,3649.63,Kyiv
2004-01-23,-8.7,-12.6,3.5,0.0,2.59,29.5,0.0,Kyiv
2004-01-24,-6.0,-8.5,0.6,0.0,1.26,25.0,0.0,Kyiv
2004-01-25,-2.1,-6.0,0.4,0.0,0.63,7.6,6133.65,Kyiv
2004-01-26,-2.4,-6.6,0.4,0.0,0.63,11.2,8861.29,Kyiv
2004-01-27,-2.5,-5.0,0.0,0.0,0.35,12.0,2978.11,Kyiv
2004-01-28,0.3,-6.6,3.9,0.1,2.87,23.7,0.0,Kyiv
2004-01-29,1.9,-2.3,6.4,0.5,4.13,17.6,0.0,Kyiv
2004-01-30,-2.7,-9.8,0.7,0.0,0.91,14.8,0.0,Kyiv
2004-01-31,-4.8,-12.6,0.0,0.0,0.0,16.4,4800.53,Kyiv
2004-02-01,-2.9,-10.8,1.1,0.0,0.77,18.6,19249.44,Kyiv
2004-02-02,-1.6,-3.2,4.0,0.0,3.01,19.1,0.0,Kyiv
2004-02-03,-2.7,-5.8,0.1,0.0,0.14,14.8,16635.04,Kyiv
2004-02-04,-0.3,-6.7,4.8,0.1,3.29,20.1,6748.14,Kyiv
2004-02-05,5.8,0.0,5.6,5.6,0.0,30.6,0.0,Kyiv
2004-02-06,5.2,3.5,2.7,2.7,0.0,30.6,4821.55,Kyiv
2004-02-07,8.7,3.2,2.3,2.3,0.0,29.5,3710.21,Kyiv
2004-02-08,6.5,0.1,0.4,0.4,0.0,30.2,7851.5,Kyiv
2004-02-09,3.3,-0.9,0.6,0.5,0.07,19.5,18586.98,Kyiv
2004-02-10,-0.4,-4.8,0.8,0.0,0.56,35.5,21437.89,Kyiv
2004-02-11,-2.7,-10.7,2.4,0.0,2.03,24.1,1307.8,Kyiv
2004-02-12,-10.9,-12.6,0.0,0.0,0.0,24.1,20467.92,Kyiv
2004-02-13,-10.6,-13.5,0.7,0.0,1.33,21.8,24663.31,Kyiv
2004-02-14,-8.3,-13.3,1.4,0.0,1.12,23.9,3568.85,Kyiv
2004-02-15,-4.5,-10.4,1.0,0.0,0.91,15.9,14791.83,Kyiv
2004-02-16,-1.9,-5.4,0.0,0.0,0.21,16.2,10344.92,Kyiv
2004-02-17,-0.3,-4.0,0.0,0.0,0.07,22.2,16368.43,Kyiv
2004-02-18,2.3,-2.9,2.0,0.5,1.12,21.8,117.35,Kyiv
2004-02-19,0.1,-10.3,1.7,0.0,1.75,25.1,7953.85,Kyiv
2004-02-20,-10.6,-14.9,0.0,0.0,0.42,24.2,32222.76,Kyiv
2004-02-21,-5.5,-20.1,0.0,0.0,0.0,13.4,33512.93,Kyiv
2004-02-22,-2.7,-15.5,0.0,0.0,0.0,25.5,33748.9,Kyiv
2004-02-23,1.0,-6.6,0.0,0.0,0.0,27.2,21162.31,Kyiv
2004-02-24,1.3,-1.7,3.2,0.0,2.52,23.5,0.0,Kyiv
