time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,sunshine_duration,city
2015-01-01,10.7,4.6,1.0,1.0,0.0,34.3,0.0,London
2015-01-02,12.4,3.0,0.6,0.6,0.0,33.9,20784.69,London
2015-01-03,5.0,2.8,11.4,11.4,0.0,18.4,0.0,London
2015-01-04,3.4,-0.3,0.0,0.0,0.0,9.9,22026.72,London
2015-01-05,9.3,3.7,0.0,0.0,0.0,14.3,2590.05,London
2015-01-06,9.8,1.9,0.2,0.2,0.0,23.2,5541.5,London
2015-01-07,9.5,0.6,0.0,0.0,0.0,30.5,11621.73,London
2015-01-08,10.8,5.6,13.0,13.0,0.0,29.1,8778.62,London
2015-01-09,13.7,6.8,0.3,0.3,0.0,38.3,18000.0,London
2015-01-10,12.8,3.4,0.5,0.5,0.0,40.4,12624.54,London
2015-01-11,7.4,3.0,0.0,0.0,0.0,27.0,22964.9,London
2015-01-12,11.1,7.0,1.9,1.9,0.0,35.9,0.0,London
2015-01-13,10.8,3.8,8.8,8.8,0.0,31.7,21381.39,London
2015-01-14,7.7,2.0,1.8,1.8,0.0,37.4,23833.56,London
2015-01-15,10.2,4.8,10.8,10.8,0.0,45.9,23410.78,London
2015-01-16,6.0,-0.4,0.0,0.0,0.0,30.1,4027.32,London
2015-01-17,5.2,-2.9,0.7,0.6,0.07,17.9,22890.13,London
2015-01-18,3.0,-1.9,2.9,2.8,0.07,14.4,17301.98,London
2015-01-19,3.1,-2.2,0.0,0.0,0.0,13.0,22655.91,London
2015-01-20,3.3,-3.3,0.1,0.1,0.0,18.4,14451.42,London
2015-01-21,3.1,1.8,0.7,0.7,0.0,22.1,0.0,London
2015-01-22,4.1,-1.6,0.0,0.0,0.0,12.2,25879.65,London
2015-01-23,5.6,-2.9,0.9,0.9,0.0,23.0,25354.35,London
2015-01-24,7.1,0.7,5.0,5.0,0.0,24.9,26800.21,London
2015-01-25,7.9,-1.4,0.0,0.0,0.0,19.6,26433.96,London
2015-01-26,8.7,3.4,0.1,0.1,0.0,19.8,7253.5,London
2015-01-27,7.7,2.0,0.0,0.0,0.0,15.9,21016.86,London
2015-01-28,9.4,2.0,1.1,1.1,0.0,37.9,12247.54,London
2015-01-29,5.0,0.1,1.6,1.2,0.28,27.4,19110.11,London
2015-01-30,5.3,0.1,0.9,0.3,0.42,22.0,25385.78,London
2015-01-31,3.6,-0.9,2.0,1.0,0.7,28.9,15057.76,London
2015-02-01,4.4,-1.0,0.4,0.2,0.21,31.4,22280.8,London
2015-02-02,2.4,-3.6,0.0,0.0,0.0,13.3,25182.84,London
2015-02-03,4.6,-2.0,1.6,0.0,1.33,20.8,24643.21,London
2015-02-04,4.4,-0.8,0.0,0.0,0.0,21.3,14567.31,London
2015-02-05,4.5,-0.3,1.1,0.0,0.91,19.5,22053.02,London
2015-02-06,4.7,-0.1,0.0,0.0,0.0,29.8,29607.27,London
2015-02-07,6.8,-0.2,0.0,0.0,0.0,19.2,6746.46,London
2015-02-08,6.6,0.4,0.0,0.0,0.0,19.1,28527.52,London
2015-02-09,6.5,0.5,0.0,0.0,0.0,14.3,13164.8,London
2015-02-10,6.0,1.0,0.0,0.0,0.0,8.4,5618.56,London
2015-02-11,5.6,1.6,0.0,0.0,0.0,7.3,8932.06,London
2015-02-12,4.4,1.3,0.0,0.0,0.0,9.4,5998.36,London
2015-02-13,7.9,0.4,4.0,4.0,0.0,33.2,4583.25,London
2015-02-14,7.7,3.7,5.5,5.5,0.0,16.1,12139.3,London
2015-02-15,8.9,3.5,0.0,0.0,0.0,12.7,2756.6,London
2015-02-16,8.5,2.1,7.3,7.3,0.0,20.7,1381.38,London
2015-02-17,7.9,0.7,0.0,0.0,0.0,18.6,31884.82,London
