time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,sunshine_duration,city
2015-01-01,1.5,-3.2,0.0,0.0,0.0,16.9,12508.91,Paris
2015-01-02,10.0,0.1,1.1,1.1,0.0,22.9,5302.03,Paris
2015-01-03,12.0,-1.8,3.7,3.7,0.0,31.9,0.0,Paris
2015-01-04,10.6,2.1,1.1,1.1,0.0,16.3,0.0,Paris
2015-01-05,4.3,-2.8,0.0,0.0,0.0,8.1,25153.61,Paris
2015-01-06,5.6,-3.5,0.0,0.0,0.0,13.0,17038.81,Paris
2015-01-07,5.5,-1.3,0.0,0.0,0.0,14.8,4023.69,Paris
2015-01-08,10.2,4.9,3.7,3.7,0.0,33.5,712.39,Paris
2015-01-09,12.4,5.9,0.7,0.7,0.0,31.8,70.49,Paris
2015-01-10,12.6,7.4,2.4,2.4,0.0,30.0,1955.9,Paris
2015-01-11,8.2,4.4,0.0,0.0,0.0,26.5,25776.98,Paris
2015-01-12,9.0,5.8,0.0,0.0,0.0,28.2,1028.7,Paris
2015-01-13,11.1,7.6,1.3,1.3,0.0,34.9,3843.06,Paris
2015-01-14,7.9,4.5,2.1,2.1,0.0,30.1,20301.06,Paris
2015-01-15,10.3,6.9,3.6,3.6,0.0,40.5,0.0,Paris
2015-01-16,8.7,4.0,3.1,3.1,0.0,14.3,21748.82,Paris
2015-01-17,5.6,-1.5,0.0,0.0,0.0,14.7,27167.85,Paris
2015-01-18,6.8,0.6,0.0,0.0,0.0,18.4,22087.53,Paris
2015-01-19,4.1,0.6,1.6,1.3,0.21,15.3,1815.01,Paris
2015-01-20,3.1,-1.2,0.0,0.0,0.0,10.7,19830.22,Paris
2015-01-21,5.1,-0.8,0.0,0.0,0.0,12.8,23070.8,Paris
2015-01-22,3.3,-2.1,0.0,0.0,0.0,14.4,27964.34,Paris
2015-01-23,1.7,-1.4,0.0,0.0,0.0,11.6,7348.45,Paris
2015-01-24,5.7,-1.6,3.4,2.6,0.56,24.3,24128.97,Paris
2015-01-25,6.6,-2.2,0.0,0.0,0.0,10.1,28452.37,Paris
2015-01-26,8.2,3.4,2.6,2.6,0.0,19.0,0.0,Paris
2015-01-27,7.1,1.9,0.1,0.1,0.0,14.3,14428.49,Paris
2015-01-28,8.2,1.1,1.6,1.6,0.0,30.8,7342.85,Paris
2015-01-29,5.6,2.5,6.0,6.0,0.0,29.5,0.0,Paris
2015-01-30,5.0,-0.3,1.6,1.4,0.14,26.2,10954.71,Paris
2015-01-31,4.9,-0.8,1.8,1.7,0.07,20.1,26154.16,Paris
2015-02-01,4.6,0.5,0.9,0.9,0.0,23.7,15339.45,Paris
2015-02-02,3.6,-1.6,0.4,0.0,0.35,15.5,27904.68,Paris
2015-02-03,3.5,-2.0,0.2,0.1,0.07,11.3,23173.04,Paris
2015-02-04,4.6,-1.7,0.0,0.0,0.0,23.8,26324.0,Paris
2015-02-05,2.9,-1.3,0.0,0.0,0.0,22.7,29548.99,Paris
2015-02-06,2.3,-2.7,0.0,0.0,0.0,29.9,30395.53,Paris
2015-02-07,4.4,-2.6,0.0,0.0,0.0,23.4,30673.36,Paris
2015-02-08,6.6,1.3,0.1,0.1,0.0,27.7,26646.39,Paris
2015-02-09,4.9,-2.9,0.0,0.0,0.0,10.5,11369.57,Paris
2015-02-10,6.4,1.9,0.0,0.0,0.0,13.5,4038.71,Paris
2015-02-11,7.7,-1.1,0.0,0.0,0.0,10.4,31613.3,Paris
2015-02-12,7.0,-2.7,0.0,0.0,0.0,7.9,30377.06,Paris
2015-02-13,11.5,-1.5,2.0,2.0,0.0,27.4,29874.91,Paris
2015-02-14,7.9,4.6,7.0,7.0,0.0,23.9,7663.95,Paris
2015-02-15,8.2,2.2,0.3,0.3,0.0,10.1,416.26,Paris
2015-02-16,10.4,-0.2,0.0,0.0,0.0,15.8,29587.33,Paris
2015-02-17,7.5,4.3,0.0,0.0,0.0,22.9,0.0,Paris
2015-02-18,6.8,-1.2,0.0,0.0,0.0,11.6,7366.01,Paris
2015-02-19,8.4,0.8,0.0,0.0,0.0,18.7,27873.19,Paris
2015-02-20,7.5,4.8,9.6,9.6,0.0,30.1,0.0,Paris
2015-02-21,6.8,1.7,7.5,6.7,0.56,22.7,19553.14,Paris
2015-02-22,7.7,-3.3,0.3,0.3,0.0,27.6,33955.18,Paris
2015-02-23,10.4,4.3,9.5,9.5,0.0,28.3,25839.49,Paris
2015-02-24,8.3,1.9,1.8,1.8,0.0,23.1,34752.93,Paris
2015-02-25,7.2,1.2,5.2,5.2,0.0,16.0,0.0,Paris
2015-02-26,10.5,5.6,4.6,4.6,0.0,19.8,0.0,Paris
2015-02-27,8.7,1.5,0.0,0.0,0.0,22.1,35416.41,Paris
2015-02-28,8.6,-1.9,0.0,0.0,0.0,25.7,11226.19,Paris
2015-03-01,11.5,7.0,4.1,4.1,0.0,29.7,17043.24,Paris
2015-03-02,10.3,4.2,3.9,3.9,0.0,32.1,32400.0,Paris
2015-03-03,10.2,1.4,1.9,1.9,0.0,28.6,18199.64,Paris
2015-03-04,8.7,0.3,0.0,0.0,0.0,22.4,36045.74,Paris
2015-03-05,10.1,-1.3,0.0,0.0,0.0,12.5,36000.0,Paris
2015-03-06,10.7,-0.5,0.0,0.0,0.0,10.8,36113.08,Paris
2015-03-07,14.7,-1.3,0.0,0.0,0.0,10.8,36111.14,Paris
2015-03-08,16.1,-0.6,0.0,0.0,0.0,13.4,36364.63,Paris
2015-03-09,13.5,3.8,0.0,0.0,0.0,10.4,22277.53,Paris
2015-03-10,11.2,3.9,0.9,0.9,0.0,9.6,0.0,Paris
2015-03-11,13.0,4.1,0.0,0.0,0.0,13.0,36195.61,Paris
2015-03-12,12.9,0.9,0.0,0.0,0.0,15.7,37351.34,Paris
2015-03-13,11.2,1.5,0.0,0.0,0.0,12.7,22043.71,Paris
2015-03-14,10.0,2.6,0.0,0.0,0.0,20.2,29276.81,Paris
2015-03-15,7.9,3.7,0.8,0.8,0.0,15.4,3442.15,Paris
2015-03-16,12.7,0.7,0.0,0.0,0.0,7.9,38507.4,Paris
2015-03-17,16.4,1.2,0.0,0.0,0.0,8.8,39407.53,Paris
2015-03-18,15.8,4.2,0.0,0.0,0.0,19.2,39158.8,Paris
2015-03-19,9.0,4.1,0.0,0.0,0.0,18.8,566.41,Paris
2015-03-20,13.6,5.4,0.0,0.0,0.0,19.7,35880.36,Paris
2015-03-21,9.5,3.5,0.0,0.0,0.0,18.8,10794.22,Paris
2015-03-22,10.3,5.0,0.8,0.8,0.0,22.9,28522.05,Paris
2015-03-23,12.3,-0.3,0.0,0.0,0.0,9.7,39053.63,Paris
2015-03-24,8.9,3.6,7.2,7.2,0.0,11.9,12144.92,Paris
2015-03-25,9.7,3.5,2.0,2.0,0.0,16.6,38408.77,Paris
2015-03-26,8.2,-2.1,3.2,3.2,0.0,23.2,4408.44,Paris
2015-03-27,10.8,2.0,0.0,0.0,0.0,16.3,24724.55,Paris
2015-03-28,14.0,5.2,0.3,0.3,0.0,26.9,354.37,Paris
2015-03-29,12.7,9.4,5.4,5.4,0.0,35.9,0.0,Paris
2015-03-30,11.3,7.9,5.3,5.3,0.0,25.7,15827.92,Paris
2015-03-31,12.3,8.0,0.3,0.3,0.0,35.6,31743.32,Paris
2015-04-01,10.4,4.9,0.5,0.5,0.0,26.6,40312.82,Paris
2015-04-02,9.8,6.5,3.2,3.2,0.0,27.6,0.0,Paris
2015-04-03,11.5,6.4,6.0,6.0,0.0,12.3,5970.98,Paris
2015-04-04,9.1,5.2,0.3,0.3,0.0,22.9,8756.07,Paris
2015-04-05,10.1,1.1,0.0,0.0,0.0,19.8,33352.91,Paris
2015-04-06,12.0,0.4,0.0,0.0,0.0,15.5,33540.7,Paris
2015-04-07,14.0,1.3,0.0,0.0,0.0,11.7,43400.06,Paris
2015-04-08,15.7,1.3,0.0,0.0,0.0,10.5,43540.01,Paris
2015-04-09,19.3,2.4,0.0,0.0,0.0,10.8,43731.25,Paris
