time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,sunshine_duration,city
2004-01-01,-0.6,-5.6,0.0,0.0,0.0,11.9,20492.14,Prague
2004-01-02,-2.7,-8.1,0.0,0.0,0.0,13.7,15360.89,Prague
2004-01-03,-3.7,-7.2,0.0,0.0,0.0,11.2,14766.42,Prague
2004-01-04,-4.5,-12.0,0.0,0.0,0.07,8.9,7413.13,Prague
2004-01-05,-4.5,-12.5,2.0,0.0,1.54,10.8,19371.93,Prague
2004-01-06,-4.6,-20.3,0.9,0.0,0.63,13.0,22180.21,Prague
2004-01-07,3.0,-4.4,8.0,0.2,5.46,14.5,0.0,Prague
2004-01-08,1.5,-5.5,0.0,0.0,0.0,14.8,18641.74,Prague
2004-01-09,2.4,-3.0,3.9,0.7,2.24,15.8,0.0,Prague
2004-01-10,2.8,1.0,1.2,1.2,0.0,15.5,7526.29,Prague
2004-01-11,6.0,-0.1,7.1,7.1,0.0,18.4,5459.09,Prague
2004-01-12,5.7,1.7,7.9,7.1,0.56,23.9,22227.04,Prague
2004-01-13,6.3,1.2,13.6,11.4,1.54,21.1,0.0,Prague
2004-01-14,5.4,1.7,0.3,0.3,0.0,31.4,25052.07,Prague
2004-01-15,4.5,0.4,4.1,2.0,1.47,20.4,15371.59,Prague
2004-01-16,4.1,-0.3,2.0,1.9,0.07,21.9,0.0,Prague
2004-01-17,6.0,-0.4,0.0,0.0,0.0,20.9,22267.26,Prague
2004-01-18,2.0,-1.7,0.0,0.0,0.0,18.0,15843.47,Prague
2004-01-19,1.4,-2.5,2.1,0.0,1.54,25.5,17206.96,Prague
2004-01-20,1.5,-2.5,6.6,0.5,4.27,20.9,12958.08,Prague
2004-01-21,-2.0,-8.4,0.0,0.0,0.28,15.4,21731.64,Prague
2004-01-22,-5.9,-9.2,0.0,0.0,0.14,12.9,24230.58,Prague
2004-01-23,-6.5,-12.8,0.0,0.0,0.0,7.0,27246.67,Prague
2004-01-24,-6.3,-17.8,0.0,0.0,0.0,9.7,27325.36,Prague
2004-01-25,-1.9,-13.0,2.1,0.0,1.61,8.7,0.0,Prague
2004-01-26,0.5,-4.7,0.4,0.0,0.49,14.8,16127.43,Prague
2004-01-27,-1.9,-5.2,0.6,0.0,0.84,12.1,2331.5,Prague
2004-01-28,-1.4,-8.0,0.0,0.0,0.21,10.0,19485.84,Prague
2004-01-29,0.2,-7.9,0.5,0.0,0.42,19.8,17400.93,Prague
2004-01-30,1.5,-2.5,2.9,0.0,2.17,28.7,6221.96,Prague
2004-01-31,5.1,-4.5,0.0,0.0,0.0,18.4,20583.53,Prague
2004-02-01,9.6,4.4,1.2,1.2,0.0,29.7,16645.54,Prague
2004-02-02,9.6,5.2,4.3,4.3,0.0,24.9,0.0,Prague
2004-02-03,10.6,6.3,2.8,2.8,0.0,16.5,11317.78,Prague
2004-02-04,13.2,7.0,0.0,0.0,0.0,23.6,14400.0,Prague
2004-02-05,12.1,10.2,0.9,0.9,0.0,25.5,7419.02,Prague
2004-02-06,13.3,8.7,0.0,0.0,0.0,21.5,13774.46,Prague
2004-02-07,12.5,5.9,0.6,0.6,0.0,37.2,25967.41,Prague
2004-02-08,6.0,1.2,2.3,2.0,0.21,33.1,15900.15,Prague
