time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,sunshine_duration,city
2004-01-01,-0.6,-3.2,9.4,0.0,6.58,24.5,0.0,Vilnius
2004-01-02,-3.2,-7.3,10.0,0.0,7.0,30.0,0.0,Vilnius
2004-01-03,-7.5,-9.5,5.2,0.0,3.71,26.6,0.0,Vilnius
2004-01-04,-9.8,-15.3,0.0,0.0,0.0,15.5,19944.97,Vilnius
2004-01-05,-4.5,-10.7,0.0,0.0,0.07,9.8,0.0,Vilnius
2004-01-06,-6.9,-10.1,0.0,0.0,0.0,9.9,20210.77,Vilnius
2004-01-07,-7.7,-11.9,0.0,0.0,0.0,10.6,3191.97,Vilnius
2004-01-08,-12.3,-16.2,0.0,0.0,0.0,10.5,0.0,Vilnius
2004-01-09,-11.6,-16.3,0.0,0.0,0.0,13.3,0.0,Vilnius
2004-01-10,-8.1,-11.4,0.7,0.0,1.19,13.0,1322.17,Vilnius
2004-01-11,-9.3,-11.1,0.0,0.0,0.0,17.7,9916.38,Vilnius
2004-01-12,-1.1,-10.5,2.8,0.0,2.17,27.8,0.0,Vilnius
2004-01-13,-0.1,-2.6,1.8,0.0,1.33,21.1,130.6,Vilnius
2004-01-14,1.3,-1.8,5.1,0.4,3.64,23.8,0.0,Vilnius
2004-01-15,0.9,-1.9,3.4,0.2,2.31,18.5,0.0,Vilnius
2004-01-16,-1.6,-4.3,0.0,0.0,0.07,16.6,21685.72,Vilnius
2004-01-17,0.3,-4.3,6.0,0.0,4.27,19.9,0.0,Vilnius
2004-01-18,0.3,-6.3,1.0,0.0,0.7,18.4,0.0,Vilnius
2004-01-19,-2.8,-4.8,0.0,0.0,0.07,24.8,0.0,Vilnius
2004-01-20,-2.3,-6.2,4.0,0.0,3.01,23.3,0.0,Vilnius
2004-01-21,-6.6,-11.7,0.9,0.0,1.12,21.5,2518.5,Vilnius
2004-01-22,-9.5,-13.9,0.0,0.0,0.0,16.9,250.56,Vilnius
2004-01-23,-7.6,-11.5,0.0,0.0,0.0,6.9,2399.69,Vilnius
2004-01-24,-11.5,-14.2,0.0,0.0,0.0,12.6,6590.26,Vilnius
2004-01-25,-9.4,-12.7,0.0,0.0,0.0,11.5,21838.97,Vilnius
2004-01-26,-8.3,-11.1,0.0,0.0,0.21,10.5,0.0,Vilnius
2004-01-27,-6.0,-8.6,0.0,0.0,0.0,15.6,2498.42,Vilnius
2004-01-28,-7.0,-8.5,0.2,0.0,0.49,15.9,639.94,Vilnius
2004-01-29,-6.8,-11.2,0.0,0.0,0.0,9.2,0.0,Vilnius
2004-01-30,-5.2,-8.7,0.0,0.0,0.0,17.4,25384.33,Vilnius
2004-01-31,-2.7,-6.9,0.0,0.0,0.0,27.1,15784.84,Vilnius
2004-02-01,2.1,-3.5,5.3,0.8,3.15,29.9,0.0,Vilnius
2004-02-02,2.1,-2.4,0.6,0.6,0.14,17.0,0.0,Vilnius
2004-02-03,-1.5,-3.4,0.0,0.0,0.07,14.4,3355.4,Vilnius
2004-02-04,5.0,-3.3,7.6,7.6,0.0,26.1,0.0,Vilnius
2004-02-05,5.5,3.3,5.5,5.5,0.0,25.2,0.0,Vilnius
2004-02-06,4.0,3.2,2.8,2.8,0.0,22.0,0.0,Vilnius
2004-02-07,5.2,2.1,5.4,5.4,0.0,18.6,0.0,Vilnius
2004-02-08,3.1,-0.4,3.6,1.0,1.82,21.3,14542.07,Vilnius
2004-02-09,0.9,-4.1,2.3,0.0,2.03,27.1,758.08,Vilnius
2004-02-10,-2.3,-7.3,1.6,0.0,1.26,27.0,13859.64,Vilnius
2004-02-11,-5.8,-12.5,0.0,0.0,0.21,22.8,29238.61,Vilnius
2004-02-12,-10.3,-16.6,0.0,0.0,0.0,17.6,29049.06,Vilnius
2004-02-13,-5.2,-15.1,0.0,0.0,0.0,11.4,28820.43,Vilnius
2004-02-14,0.6,-8.0,4.1,0.0,3.01,18.5,0.0,Vilnius
2004-02-15,-0.4,-7.6,0.9,0.0,0.77,10.5,17869.81,Vilnius
2004-02-16,-0.7,-3.4,0.2,0.0,0.21,19.4,4953.56,Vilnius
2004-02-17,0.8,-2.9,3.4,0.0,2.59,17.7,0.0,Vilnius
2004-02-18,1.2,-2.7,5.9,0.2,4.13,22.1,0.0,Vilnius
2004-02-19,-3.4,-16.7,0.0,0.0,0.0,22.4,25814.2,Vilnius
2004-02-20,-6.5,-24.4,0.0,0.0,0.0,13.5,27696.33,Vilnius
2004-02-21,-2.5,-7.0,0.0,0.0,0.0,18.8,27633.67,Vilnius
2004-02-22,-2.1,-9.7,1.5,0.0,1.12,26.7,14182.38,Vilnius
2004-02-23,1.1,-2.0,1.3,0.0,1.26,21.3,1284.33,Vilnius
2004-02-24,-1.1,-7.5,0.3,0.0,0.28,10.2,8836.58,Vilnius
2004-02-25,-1.6,-8.3,0.0,0.0,0.0,20.8,32400.0,Vilnius
2004-02-26,0.1,-4.8,0.0,0.0,0.0,20.9,24916.94,Vilnius
2004-02-27,-2.3,-7.6,3.7,0.0,2.8,12.7,0.0,Vilnius
2004-02-28,-0.7,-4.3,0.7,0.0,0.91,13.4,891.36,Vilnius
2004-02-29,-1.9,-7.8,0.0,0.0,0.07,20.8,0.0,Vilnius
2004-03-01,-3.3,-6.0,1.2,0.0,1.19,19.5,13489.03,Vilnius
2004-03-02,0.3,-5.1,3.5,0.0,2.52,21.0,16770.65,Vilnius
2004-03-03,-0.9,-6.1,0.4,0.0,0.49,17.6,17236.73,Vilnius
2004-03-04,-2.5,-6.9,0.2,0.0,0.35,21.1,912.83,Vilnius
2004-03-05,-4.4,-9.9,0.0,0.0,0.0,17.9,33418.27,Vilnius
2004-03-06,-0.1,-10.2,0.3,0.0,0.35,24.0,11631.04,Vilnius
2004-03-07,-1.3,-7.5,0.0,0.0,0.0,15.8,30652.99,Vilnius
2004-03-08,1.7,-5.7,0.0,0.0,0.14,11.2,34410.4,Vilnius
2004-03-09,0.4,-6.5,0.0,0.0,0.0,20.6,34830.32,Vilnius
2004-03-10,1.3,-4.5,0.0,0.0,0.0,21.2,36476.76,Vilnius
2004-03-11,-0.5,-4.6,0.0,0.0,0.0,16.6,20156.56,Vilnius
2004-03-12,1.1,-12.7,0.0,0.0,0.0,9.6,37608.52,Vilnius
2004-03-13,1.2,-11.4,0.0,0.0,0.0,14.7,37883.2,Vilnius
2004-03-14,2.9,-4.0,0.8,0.4,0.28,18.8,24403.13,Vilnius
2004-03-15,5.2,0.6,3.6,0.5,2.24,16.3,19107.48,Vilnius
2004-03-16,6.7,3.0,2.7,2.7,0.0,27.3,0.0,Vilnius
2004-03-17,6.9,3.1,0.0,0.0,0.0,19.5,3361.32,Vilnius
2004-03-18,10.2,3.4,0.8,0.8,0.0,17.4,15678.38,Vilnius
2004-03-19,5.8,-1.2,2.6,2.6,0.0,15.0,0.0,Vilnius
2004-03-20,7.9,2.1,4.8,4.8,0.0,26.1,15960.91,Vilnius
2004-03-21,9.0,2.7,13.3,13.3,0.0,39.6,22445.42,Vilnius
2004-03-22,7.9,2.5,2.5,2.5,0.0,33.0,38089.35,Vilnius
2004-03-23,9.5,1.8,0.5,0.5,0.0,18.3,35181.87,Vilnius
2004-03-24,12.4,1.9,3.6,3.6,0.0,22.8,15867.58,Vilnius
2004-03-25,14.4,5.6,0.0,0.0,0.0,13.3,23722.63,Vilnius
2004-03-26,8.0,3.2,0.4,0.4,0.0,19.4,34.79,Vilnius
2004-03-27,2.9,1.1,0.1,0.1,0.07,16.1,0.0,Vilnius
2004-03-28,4.7,-1.2,0.0,0.0,0.0,14.1,23521.68,Vilnius
2004-03-29,4.5,1.2,0.0,0.0,0.0,11.2,1122.02,Vilnius
2004-03-30,8.8,2.1,0.1,0.1,0.0,14.1,6123.63,Vilnius
2004-03-31,11.3,1.2,0.0,0.0,0.0,21.2,42146.37,Vilnius
2004-04-01,3.3,-1.7,0.0,0.0,0.0,22.1,42539.8,Vilnius
2004-04-02,2.5,-4.5,0.0,0.0,0.0,14.3,42840.65,Vilnius
2004-04-03,5.1,-3.6,0.0,0.0,0.0,9.3,43148.91,Vilnius
2004-04-04,9.0,-3.0,0.0,0.0,0.0,12.3,42701.91,Vilnius
2004-04-05,10.8,-0.6,1.2,1.2,0.0,12.1,27848.24,Vilnius
2004-04-06,10.0,3.0,5.0,5.0,0.0,9.0,292.53,Vilnius
2004-04-07,13.8,2.0,5.2,5.2,0.0,12.1,32169.39,Vilnius
2004-04-08,8.6,5.1,9.9,9.9,0.0,20.9,0.0,Vilnius
2004-04-09,7.0,4.6,10.4,10.4,0.0,17.8,0.0,Vilnius
2004-04-10,11.8,1.1,0.1,0.1,0.0,24.4,38213.47,Vilnius
2004-04-11,9.9,2.5,0.2,0.2,0.0,11.9,43858.75,Vilnius
2004-04-12,9.1,-0.1,0.0,0.0,0.0,17.6,45706.5,Vilnius
2004-04-13,7.3,-2.3,0.0,0.0,0.0,17.7,40149.16,Vilnius
2004-04-14,10.9,-1.2,0.0,0.0,0.0,9.4,45926.02,Vilnius
2004-04-15,14.1,0.5,0.0,0.0,0.0,20.6,46038.45,Vilnius
2004-04-16,15.1,1.9,0.0,0.0,0.0,10.3,46197.75,Vilnius
2004-04-17,16.3,5.1,0.0,0.0,0.0,18.1,42561.39,Vilnius
2004-04-18,15.1,5.3,0.0,0.0,0.0,24.4,45830.57,Vilnius
2004-04-19,15.5,7.7,2.6,2.6,0.0,29.2,25023.62,Vilnius
2004-04-20,17.1,7.0,0.0,0.0,0.0,23.3,46578.7,Vilnius
2004-04-21,18.0,6.5,0.0,0.0,0.0,13.6,47343.72,Vilnius
2004-04-22,12.3,7.0,9.7,9.7,0.0,14.8,23110.8,Vilnius
2004-04-23,12.7,7.9,0.0,0.0,0.0,16.5,1272.89,Vilnius
2004-04-24,13.9,7.7,0.4,0.4,0.0,8.8,6750.62,Vilnius
2004-04-25,9.5,4.9,5.3,5.3,0.0,19.8,11378.4,Vilnius
2004-04-26,11.6,1.9,0.0,0.0,0.0,19.3,48730.14,Vilnius
2004-04-27,11.3,-0.7,0.0,0.0,0.0,10.4,48846.06,Vilnius
2004-04-28,12.8,-0.2,0.0,0.0,0.0,9.8,39744.91,Vilnius
2004-04-29,13.2,3.1,0.2,0.2,0.0,10.5,48607.42,Vilnius
2004-04-30,13.1,1.0,0.0,0.0,0.0,13.1,36916.62,Vilnius
2004-05-01,14.1,2.9,0.0,0.0,0.0,9.7,45675.66,Vilnius
2004-05-02,17.2,6.9,0.0,0.0,0.0,14.5,41351.1,Vilnius
2004-05-03,18.2,9.6,4.1,4.1,0.0,22.6,37544.63,Vilnius
2004-05-04,20.6,12.0,0.6,0.6,0.0,22.0,47233.44,Vilnius
2004-05-05,22.4,13.5,0.0,0.0,0.0,28.8,50356.08,Vilnius
2004-05-06,20.9,14.3,0.9,0.9,0.0,29.7,44808.45,Vilnius
2004-05-07,15.5,13.6,2.9,2.9,0.0,28.1,11144.01,Vilnius
