time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,sunshine_duration,city
2004-01-01,-0.3,-2.5,1.5,0.0,1.54,15.8,38.66,Warsaw
2004-01-02,-2.2,-6.2,0.2,0.0,0.7,17.9,9530.15,Warsaw
2004-01-03,-6.4,-9.5,0.0,0.0,0.0,17.4,5004.05,Warsaw
2004-01-04,-9.0,-11.6,0.0,0.0,0.0,8.8,0.0,Warsaw
2004-01-05,-5.9,-12.5,0.1,0.0,0.77,11.1,509.2,Warsaw
2004-01-06,-3.8,-9.8,0.0,0.0,0.0,10.2,14693.17,Warsaw
2004-01-07,-6.1,-10.4,0.0,0.0,0.0,15.7,13083.5,Warsaw
2004-01-08,-9.0,-12.8,0.0,0.0,0.0,12.6,22446.22,Warsaw
2004-01-09,-7.8,-12.8,0.0,0.0,0.0,14.5,18000.0,Warsaw
2004-01-10,-5.0,-8.7,2.2,0.0,1.61,9.7,12012.63,Warsaw
2004-01-11,-3.5,-10.5,0.0,0.0,0.0,20.4,0.0,Warsaw
2004-01-12,2.3,-2.1,9.2,4.3,3.43,23.1,0.0,Warsaw
2004-01-13,0.7,-2.0,1.1,0.1,0.7,20.7,13686.26,Warsaw
2004-01-14,3.1,0.8,7.4,5.7,1.19,29.3,0.0,Warsaw
2004-01-15,1.3,-1.6,0.1,0.1,0.0,25.6,7987.58,Warsaw
2004-01-16,1.9,-2.3,1.9,0.0,1.4,19.9,4221.74,Warsaw
2004-01-17,4.0,0.8,1.3,0.8,0.35,20.3,8114.49,Warsaw
2004-01-18,1.3,-2.6,0.0,0.0,0.0,17.1,3518.04,Warsaw
2004-01-19,-0.4,-4.9,2.4,0.0,1.68,24.3,881.39,Warsaw
2004-01-20,0.1,-3.7,1.2,0.0,1.26,20.1,14464.41,Warsaw
2004-01-21,-4.1,-8.0,0.0,0.0,0.0,20.5,20338.4,Warsaw
2004-01-22,-7.3,-11.3,0.0,0.0,0.07,11.8,18133.86,Warsaw
2004-01-23,-5.2,-12.0,0.0,0.0,0.0,9.4,3408.93,Warsaw
2004-01-24,-6.9,-13.9,0.0,0.0,0.0,10.5,24600.24,Warsaw
2004-01-25,-7.7,-13.1,0.0,0.0,0.0,9.8,2086.63,Warsaw
2004-01-26,-4.1,-9.1,0.0,0.0,0.0,13.5,22163.01,Warsaw
2004-01-27,-5.3,-10.2,0.0,0.0,0.0,13.8,26931.03,Warsaw
2004-01-28,-4.0,-9.3,0.2,0.0,0.42,7.1,11854.92,Warsaw
2004-01-29,-3.1,-8.7,0.0,0.0,0.07,11.5,7576.89,Warsaw
2004-01-30,-0.5,-7.9,2.2,0.0,1.68,21.6,10433.61,Warsaw
2004-01-31,0.5,-5.9,0.0,0.0,0.0,20.4,25200.0,Warsaw
2004-02-01,6.7,0.4,2.9,2.6,0.21,28.9,0.0,Warsaw
2004-02-02,3.9,-0.2,2.2,2.2,0.0,14.3,0.0,Warsaw
2004-02-03,4.1,0.8,1.2,1.2,0.0,12.7,0.0,Warsaw
2004-02-04,9.9,4.5,7.8,7.8,0.0,22.7,0.0,Warsaw
2004-02-05,12.3,8.7,7.6,7.6,0.0,32.5,2604.68,Warsaw
2004-02-06,10.3,8.0,0.1,0.1,0.0,28.0,8843.17,Warsaw
2004-02-07,10.8,4.1,6.5,6.5,0.0,37.3,15920.55,Warsaw
2004-02-08,6.5,1.2,2.9,2.9,0.0,23.8,26288.92,Warsaw
2004-02-09,1.3,-2.6,3.5,0.4,2.38,28.0,14841.25,Warsaw
2004-02-10,-0.2,-4.3,1.3,0.0,1.05,25.9,27048.14,Warsaw
2004-02-11,-1.5,-10.3,3.6,0.0,2.52,19.5,27258.11,Warsaw
2004-02-12,-8.9,-14.7,0.0,0.0,0.0,14.9,28912.13,Warsaw
2004-02-13,-3.3,-14.9,0.0,0.0,0.7,12.3,3185.22,Warsaw
2004-02-14,0.6,-5.5,1.3,0.1,1.4,26.1,0.0,Warsaw
2004-02-15,1.6,-0.6,1.5,0.0,1.33,19.0,21194.03,Warsaw
2004-02-16,1.1,-1.4,1.2,0.0,1.05,17.1,6802.34,Warsaw
2004-02-17,1.3,-2.2,1.3,0.0,1.26,23.7,54.41,Warsaw
2004-02-18,1.9,-1.2,2.0,1.5,0.35,24.7,4657.58,Warsaw
2004-02-19,-1.3,-8.8,0.3,0.0,0.63,17.3,7148.01,Warsaw
2004-02-20,-3.2,-11.7,0.0,0.0,0.0,11.3,32374.68,Warsaw
2004-02-21,0.4,-12.0,0.0,0.0,0.0,21.2,32791.77,Warsaw
2004-02-22,2.3,-4.3,1.2,0.8,0.28,21.9,3831.87,Warsaw
2004-02-23,1.2,-1.8,2.9,0.2,2.03,12.5,131.23,Warsaw
2004-02-24,0.8,-6.7,0.7,0.0,0.63,13.2,32645.42,Warsaw
2004-02-25,-0.3,-7.2,0.0,0.0,0.0,19.9,32213.5,Warsaw
2004-02-26,1.9,-5.5,0.0,0.0,0.0,15.3,33819.86,Warsaw
2004-02-27,0.6,-5.7,0.9,0.0,0.77,11.6,5655.66,Warsaw
2004-02-28,0.8,-3.3,1.8,0.0,1.54,9.3,4939.01,Warsaw
2004-02-29,-1.4,-5.6,2.6,0.0,1.96,23.7,0.0,Warsaw
2004-03-01,-0.6,-3.8,1.2,0.0,0.98,16.4,9929.58,Warsaw
2004-03-02,1.5,-3.6,1.7,0.9,0.7,20.9,3722.91,Warsaw
2004-03-03,0.8,-4.3,1.5,0.1,1.33,25.3,26881.43,Warsaw
2004-03-04,-1.3,-6.2,0.0,0.0,0.35,19.3,10151.47,Warsaw
2004-03-05,-3.0,-9.5,0.0,0.0,0.0,15.4,24392.84,Warsaw
2004-03-06,-0.1,-13.2,0.0,0.0,0.0,12.5,35681.65,Warsaw
2004-03-07,1.9,-9.5,0.0,0.0,0.0,16.0,32315.79,Warsaw
2004-03-08,3.7,-6.8,0.0,0.0,0.0,8.7,31292.42,Warsaw
2004-03-09,2.2,-3.6,0.0,0.0,0.0,23.7,19326.81,Warsaw
2004-03-10,4.2,-0.6,0.4,0.0,0.42,19.8,30642.16,Warsaw
2004-03-11,4.3,-2.4,0.0,0.0,0.0,22.1,36575.57,Warsaw
2004-03-12,3.6,-2.7,0.0,0.0,0.0,20.8,31821.65,Warsaw
2004-03-13,7.5,-1.9,0.0,0.0,0.0,19.2,36867.7,Warsaw
2004-03-14,8.0,-0.2,0.7,0.7,0.0,14.3,89.23,Warsaw
2004-03-15,12.9,-1.0,0.4,0.4,0.0,19.3,36259.87,Warsaw
